id,totalcommamt,url,teamleadname,status,sector1,project_name,lendinginstr,impagency,countrycode,boardapprovaldate,closingdate
P166732,382000000,https://projects.worldbank.org/en/projects-operations/project-detail/P166732,"Lincoln Flor,Hasan Afzal Zaidi",Active,Urban Transport,Karachi Mobility Project,Investment Project Financing,Province of Sindh,['PK'],2019-06-27,2025-12-31
P164704,80000000,https://projects.worldbank.org/en/projects-operations/project-detail/P164704,"Khairy Al-Jamal,Mohammad Farhanullah Sami,Tiziana Smith",Active,Water Supply,Karachi Water and Sewerage Services Improvement Project (KWSSIP),Investment Project Financing,Province of Sindh through the Karachi Water and Sewerage Corporation (KWSC),['PK'],2019-06-27,2025-06-30
P161402,230000000,https://projects.worldbank.org/en/projects-operations/project-detail/P161402,"Davison Muchadenyika,Fahad Hasan",Active,Sub-National Government,Competitive and Livable City of Karachi Project,Investment Project Financing,"Local Government Department, Government of Sindh, Province of Sindh, Investment Department, Government of Sindh",['PK'],2019-06-27,2026-05-29
P163562,70000000,https://projects.worldbank.org/en/projects-operations/project-detail/P163562,"Kiran Afzal,Hasan Afzal Zaidi",Active,Tourism,Khyber Pakhtunkhwa Integrated Tourism Development Project,Investment Project Financing,"Department of Tourism, Culture, Sports, Archeology & Youth Affairs, Communication and Works Department",['PK'],2019-06-27,2025-06-30
P163474,171000000,https://projects.worldbank.org/en/projects-operations/project-detail/P163474,"Maha Ahmed,Yoro Sidibe",Active,Irrigation and Drainage,Khyber Pakhtunkhwa Irrigated-Agriculture Improvement Project,Investment Project Financing,"Department of Agriculture, Government of Khyber Pukhthukhwa",['PK'],2019-06-20,2025-12-31
P165982,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P165982,"Lucy Pan,Tobias Akhtar Haque",Active,ICT Infrastructure,Pakistan Raises Revenue,Investment Project Financing,Federal Board of Revenue,['PK'],2019-06-13,2025-06-30
P162302,118000000,https://projects.worldbank.org/en/projects-operations/project-detail/P162302,Irum Touqeer,Active,Central Government (Central Agencies),Khyber Pakhtunkhwa Revenue Mobilization and Public Resource Management,Program-for-Results Financing,Finance Department - Khyber Pakhtunkhwa,['PK'],2019-06-13,2024-12-31
P161386,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P161386,Inga Afanasieva,Active,ICT Services,Higher Education Development in Pakistan,Investment Project Financing,Higher Education Commission,['PK'],2019-05-31,2025-06-30
P159577,460600000,https://projects.worldbank.org/en/projects-operations/project-detail/P159577,"Hasan Afzal Zaidi,Adja Mansora Dahourou Simpore",Active,Other Transportation,Khyber Pass Economic Corridor Project,Investment Project Financing,"National Highways Authority (NHA), Planning and Development Department, Government of Khyber Pakhtunkhwa.",['PK'],2018-06-14,2026-05-28
P159712,100000000,https://projects.worldbank.org/en/projects-operations/project-detail/P159712,Dmytro Glazkov,Active,Renewable Energy Solar,Sindh Solar Energy Project,Investment Project Financing,Energy Department - Government of Sindh,['PK'],2018-06-14,2025-07-31
P163924,188000000,https://projects.worldbank.org/en/projects-operations/project-detail/P163924,"Ahsan Tehsin,Anders Jensen",Active,Other Public Administration,Pakistan Hydromet and Climate Services Project (PHCSP),Investment Project Financing,"National Disaster Risk Management Fund, Ministry of Climate Change",['PK'],2018-05-25,2024-12-31
P165388,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P165388,"Ahmad Imran Aslam,Ashraf Bakry El-Arini",Active,Other Transportation,Punjab Green Development Program,Program-for-Results Financing,"Transport Department, Energy Department, Finance Department, Environmental Protection Department, Industries, Commerce, Investment and Skills Development Department, Planning and Development Board",['PK'],2018-05-25,2025-05-30
P162117,140000000,https://projects.worldbank.org/en/projects-operations/project-detail/P162117,NIL,Active,"Other Water Supply, Sanitation and Waste Management",Sindh Barrages Improvement Project AF,Investment Project Financing,"Irrigation Department, Government of Sindh, Sindh Irrigation and Power Department",['PK'],2018-05-25,
P156972,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P156972,Shahnaz Arshad,Active,Sub-National Government,Punjab Cities Program,Program-for-Results Financing,"Planning and Development Board, Government of Punjab, Punjab Municipal Development Funds Company, Local Government and Community Development Department",['PK'],2018-05-25,2025-03-31
P162095,145000000,https://projects.worldbank.org/en/projects-operations/project-detail/P162095,"Rafay Khan,Namoos Zaheer",Active,Housing Construction,Pakistan Housing Finance Project,Investment Project Financing,PMRC,['PK'],2018-03-29,2026-06-30
P154987,425000000,https://projects.worldbank.org/en/projects-operations/project-detail/P154987,"Mohammad Anis,Mbuso Gwafila",Active,Energy Transmission and Distribution,National Transmission Modernization I Project,Investment Project Financing,National Transmission and Despatch Company (NTDC),['PK'],2017-12-19,2025-04-30
P159428,137000000,https://projects.worldbank.org/en/projects-operations/project-detail/P159428,Fahad Hasan,Active,Other Non-bank Financial Institutions,Pakistan Financial Inclusion and Infrastructure Project,Investment Project Financing,"Ministry of Finance, Development Finance Group, State Bank of Pakistan",['PK'],2017-06-15,2025-06-30
P158099,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P158099,"Kiran Afzal,Hasan Afzal Zaidi",Active,Tourism,PK: Punjab Tourism for Economic Growth Project,Investment Project Financing,Planning and Development Board,['PK'],2017-03-15,2025-06-30
P157372,390000000,https://projects.worldbank.org/en/projects-operations/project-detail/P157372,"Masood Ahmad,Mohammad Saqib",Active,Renewable Energy Hydro,Additional Financing to PK: Tarbela 4th Extension Hydropower Project,Investment Project Financing,"PMU T4HP, WAPDA",['PK'],2016-09-20,
P154255,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P154255,Carlo Alberto Amadei,Active,"Other Agriculture, Fishing and Forestry",PK-Balochistan Integrated Water Resources Management & Development Project,Investment Project Financing,"Balochistan Irrigation Department, Government of Balochistan",['PK'],2016-06-28,2025-03-01
P131324,188000000,https://projects.worldbank.org/en/projects-operations/project-detail/P131324,"Francois Onimus,Thiruni Udeshika Lekamwasam Liyanage",Active,Irrigation and Drainage,PK-Sindh Barrages Improvement Project,Investment Project Financing,Irrigation Department,['PK'],2015-06-19,2028-06-30
P121507,588400000,https://projects.worldbank.org/en/projects-operations/project-detail/P121507,"Gunjan Gautam,Mats Johan Rikard Liden",Active,Renewable Energy Hydro,Dasu Hydropower Stage I Project,Investment Project Financing,"Water and Power Development Authority (WAPDA), National Transmission and Despatch Company",['PK'],2014-06-10,2028-12-31
P115893,840000000,https://projects.worldbank.org/en/projects-operations/project-detail/P115893,"Gunjan Gautam,Mats Johan Rikard Liden",Active,Renewable Energy Hydro,Tarbela Fourth Extension Hydropower Project,Investment Project Financing,"National Transmission and Despatch Company (NTDC), Water and Power Development Authority (WAPDA)",['PK'],2012-03-20,2027-09-30
P181031,0,https://projects.worldbank.org/en/projects-operations/project-detail/P181031,Inga Afanasieva,Active,Other Education,TA Component to Actions to Strengthen Performance for Inclusive And Responsive Education,Program-for-Results Financing,Ministry of Federal Education and Professional Training,['PK'],,
P152465,0,https://projects.worldbank.org/en/projects-operations/project-detail/P152465,"NIL,Rajesh Koirala",Closed,Forestry,Pakistan: REDD  Preparation Project,Investment Project Financing,,['PK'],2021-09-08,
P174553,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P174553,"Mats Johan Rikard Liden,Saiyed Shabih Ali Mohib",Closed,Social Protection,Pakistan Program for Affordable and Clean Energy (PACE),Development Policy Lending,MINISTRY OF FINANCE AND REVENUE,['PK'],2021-06-28,2022-06-30
P172628,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P172628,"Tazeen Fasih,Lire Ersado",Closed,Social Protection,Securing Human Investments to Foster Transformation II,Development Policy Lending,"Benazir Income Support Program - BISP, Economic Affairs Division, Ministry of Finance, Ministry of Federal Education and Professional Training",['PK'],2021-06-28,2022-06-30
P171850,500000000,https://projects.worldbank.org/en/projects-operations/project-detail/P171850,"Muhammad Waheed,Enrique Blanco Armas,Saiyed Shabih Ali Mohib",Closed,Central Government (Central Agencies),Resilient Institutions for Sustainable Economy,Development Policy Lending,Ministry of Finance and Revenue,['PK'],2020-06-29,2021-05-31
P171659,8000000,https://projects.worldbank.org/en/projects-operations/project-detail/P171659,Raymond Muhula,Closed,Central Government (Central Agencies),Governance and Policy Project for Khyber Pakhtunkhwa,Investment Project Financing,,['PK'],2020-06-18,
P170568,500000000,https://projects.worldbank.org/en/projects-operations/project-detail/P170568,Tazeen Fasih,Closed,Public Administration - Education,Securing Human Investments to Foster Transformation (SHIFT) DPC Series,Development Policy Lending,"Benazir Income Support Program - BISP, Ministry of National Health Services Regulations and Coordination, Ministry of Finance, Ministry of Planning Development and Special Initiatives, Ministry of Federal Education and Professional Training",['PK'],2020-05-21,2021-05-31
P170305,10490000,https://projects.worldbank.org/en/projects-operations/project-detail/P170305,Juan Baron,Closed,Public Administration - Education,Balochistan Education Project,Investment Project Financing,,['PK'],2019-07-18,
P161703,0,https://projects.worldbank.org/en/projects-operations/project-detail/P161703,NIL,Closed,Health,Additonal Financing to Khyber Pakhtunkhwa: Enhanced Nutrition to Mothers and Children Project,Investment Project Financing,"Department of Health, Balochistan, Department of Health, Sindh",['PK'],2017-12-22,
P157507,407000000,https://projects.worldbank.org/en/projects-operations/project-detail/P157507,"Akmal Minallah,David I,Haider Raza",Closed,ICT Services,PFM and accountability to support service delivery PforR,Program-for-Results Financing,Ministry of Finance,['PK'],2017-12-19,2023-10-31
P162446,300000000,https://projects.worldbank.org/en/projects-operations/project-detail/P162446,Olivier Durand,Closed,Irrigation and Drainage,Strengthening Markets for Agriculture and Rural Transformation Punjab Program,Program-for-Results Financing,Department of Agriculture,['PK'],2017-12-15,2024-06-30
P161980,86000000,https://projects.worldbank.org/en/projects-operations/project-detail/P161980,"Zishan Faiza Karim,Mansha Chen",Closed,Urban Transport,Karachi Neighborhood Improvement Project,Investment Project Financing,"Planning and Development Department, Government of Sindh",['PK'],2017-06-15,2023-06-30
P161624,61620000,https://projects.worldbank.org/en/projects-operations/project-detail/P161624,Aliya Kashif,Closed,Health,Sindh Enhancing Response to Reduce Stunting,Investment Project Financing,"Government of Sindh, Planning and Development",['PK'],2017-05-26,2021-12-31
P161136,301600000,https://projects.worldbank.org/en/projects-operations/project-detail/P161136,Namoos Zaheer,Closed,Banking Institutions,Pakistan: Finance for Growth DPC,Development Policy Lending,Ministry of Finance,['PK'],2017-03-15,2018-06-30
P158643,100000000,https://projects.worldbank.org/en/projects-operations/project-detail/P158643,"Amjad Zafar Khan,Nina Rosas Raffo",Closed,Social Protection,Pakistan: National Social Protection Program,Program-for-Results Financing,Benazir Income Support Programme (BISP),['PK'],2017-03-15,2022-06-30
P156412,14000000,https://projects.worldbank.org/en/projects-operations/project-detail/P156412,"Lucy Pan,Tobias Akhtar Haque",Closed,"Agricultural Extension, Research, and Other Support Activities",Federally Administered Tribal Areas (FATA) Governance and Policy Program,Investment Project Financing,,['PK'],2016-12-02,2023-06-30
P146252,3000000,https://projects.worldbank.org/en/projects-operations/project-detail/P146252,"Izabela Leao,Pushina Kunda Ng'andwe",Closed,"Other Agriculture, Fishing and Forestry",Indus Eco Region Community Livelihood Project (IECLP),Investment Project Financing,,['PK'],2016-09-09,2019-08-31
P159839,420000000,https://projects.worldbank.org/en/projects-operations/project-detail/P159839,"Sebnem Erol Madan,Enrique Blanco Armas",Closed,Other Public Administration,Pakistan Competitiveness and Growth PBG,Development Policy Lending,,['PK'],2016-06-21,2017-12-31
P157207,500000000,https://projects.worldbank.org/en/projects-operations/project-detail/P157207,Enrique Blanco Armas,Closed,Other Public Administration,Pakistan Competitiveness and Growth Development Policy Credit,Development Policy Lending,"Ministry of Finance, Finance Division, External Finance",['PK'],2016-06-21,2017-12-31
P155350,100000000,https://projects.worldbank.org/en/projects-operations/project-detail/P155350,"Ahsan Tehsin,Syed Muhammad Bilal Khalid",Closed,"Other Water Supply, Sanitation and Waste Management",Sindh Resilience Project,Investment Project Financing,"Sindh Irrigation Department, Provincial Disaster Management Authority, Sindh",['PK'],2016-06-21,2024-08-28
P154524,300000000,https://projects.worldbank.org/en/projects-operations/project-detail/P154524,"Koen Martijn Geven,Tazeen Fasih",Closed,Secondary Education,Pakistan: Third Punjab Education Sector Project,Investment Project Financing,"PESRP, School Education Department, Government of Punjab",['PK'],2016-06-03,2022-06-30
P132308,144000000,https://projects.worldbank.org/en/projects-operations/project-detail/P132308,"Aliya Kashif,Iffat Mahmud",Closed,Public Administration - Health,National Immunization Support Project,Investment Project Financing,"Federal Directorate of Immunization, Ministry of National Health Services, Reg. and Coordination, Benazir Income Support Program",['PK'],2016-04-21,2022-06-30
P155226,34950000,https://projects.worldbank.org/en/projects-operations/project-detail/P155226,William Young,Closed,"Public Administration - Water, Sanitation and Waste Management",Water Sector Capacity Building and Advisory Services,Investment Project Financing,,['PK'],2015-12-21,
P130193,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P130193,Shinsaku Nomura,Closed,Workforce Development and Vocational Education,Punjab Skills Development,Investment Project Financing,"Industries, Commerce & Investment  Dep., Govt. of Punjab",['PK'],2015-04-30,2020-12-31
P145617,50000000,https://projects.worldbank.org/en/projects-operations/project-detail/P145617,"Charles Victor Blanco,Jose Eduardo Gutierrez Ossio",Closed,Sub-National Government,PK Sindh Public Sector Management Reform Project,Investment Project Financing,"Economic Reform Unit, Finance Department, Sindh Revenue Board",['PK'],2015-01-28,2021-02-28
P152586,0,https://projects.worldbank.org/en/projects-operations/project-detail/P152586,NIL,Closed,Sub-National Government,Governance Support Project for KP FATA and Balochistan,Investment Project Financing,,['PK'],2015-01-22,
P131325,138000000,https://projects.worldbank.org/en/projects-operations/project-detail/P131325,Abdulhamid Azad,Closed,Irrigation and Drainage,PK Additional Financing for Sindh Water Sector Improvement Phase 1,Specific Investment Loan,,['PK'],2014-12-16,
P131850,47950000,https://projects.worldbank.org/en/projects-operations/project-detail/P131850,"Robert Oelrichs,Sutayut Osornprasop",Closed,Health,Enhanced Nutrition for Mothers and Children,Investment Project Financing,"Department of Health, Balochistan, Department of Health, Government of KP, Department of Health, Khyber Pakhtunkhwa, Department of Health, Sindh, Islamic Republic of Pakistan",['PK'],2014-08-29,2019-12-31
P149311,0,https://projects.worldbank.org/en/projects-operations/project-detail/P149311,NIL,Closed,Rural and Inter-Urban Roads,MDTF KP Emergency Roads Recovery Project,Investment Project Financing,,['PK'],2014-04-21,2015-12-12
P145420,2800000,https://projects.worldbank.org/en/projects-operations/project-detail/P145420,Vinayak Narayan Ghatate,Closed,"Other Industry, Trade and Services",Developing Artisanal Livelihoods in Rural Pakistan (RANG),Investment Project Financing,,['PK'],2014-02-14,2019-05-21
P123394,285000000,https://projects.worldbank.org/en/projects-operations/project-detail/P123394,NIL,Closed,Public Administration - Health,Punjab Health Sector Reform Project,Investment Project Financing,"Policy and Strategic Planning Unit (PSPU), Department of Health, Government of Punjab, IRMNCH, Multi Sector Nutrition Celll",['PK'],2013-05-31,2018-12-31
P125952,400000000,https://projects.worldbank.org/en/projects-operations/project-detail/P125952,Shinsaku Nomura,Closed,Primary Education,Pakistan: Second Sindh Education Sector Project,Investment Project Financing,"School Education and Literacy Department, Reform Support Unit",['PK'],2013-03-14,2018-12-31
P128966,0,https://projects.worldbank.org/en/projects-operations/project-detail/P128966,NIL,Closed,Rural and Inter-Urban Roads,MDTF FATA Emergency Rural Roads Project,Emergency Recovery Loan,,['PK'],2012-11-13,2015-12-12
P132541,24000000,https://projects.worldbank.org/en/projects-operations/project-detail/P132541,NIL,Closed,Health,Second Additional Financing for Third Partnership for Polio Eradication Project,Specific Investment Loan,,['PK'],2012-10-02,
P112901,150000000,https://projects.worldbank.org/en/projects-operations/project-detail/P112901,Shahnaz Arshad,Closed,Sub-National Government,Pakistan Punjab Cities Governance Improvement Project,Investment Project Financing,"Planning and Development Board, Government of Punjab, The Urban Unit",['PK'],2012-09-11,2018-06-30
P131266,70000000,https://projects.worldbank.org/en/projects-operations/project-detail/P131266,NIL,Closed,Sub-National Government,Punjab Land Records Management and Information Systems Project - Additional Financing,Specific Investment Loan,,['PK'],2012-09-11,
P120589,200000000,https://projects.worldbank.org/en/projects-operations/project-detail/P120589,"NIL,Michael C. Stanley",Closed,Oil and Gas,Natural Gas Efficiency Project,Investment Project Financing,Sui Southern Gas Company Limited (SSGC),['PK'],2012-04-26,2016-05-31
P125999,250000000,https://projects.worldbank.org/en/projects-operations/project-detail/P125999,"Guo Li,Maha Ahmed",Closed,Irrigation and Drainage,PK Punjab Irrig Agri Productivity Improvement Program Project,Investment Project Financing,Directorate General Agriculture (Water Management),['PK'],2012-03-20,2021-12-31
